Vardas                   Pavarde                  Galutinis
VardasNR621              PavardeNR621             2.64  
VardasNR625              PavardeNR625             3.12  
VardasNR62               PavardeNR62              3.32  
VardasNR627              PavardeNR627             3.16  
VardasNR619              PavardeNR619             4.24  
VardasNR618              PavardeNR618             4.44  
VardasNR611              PavardeNR611             3.16  
VardasNR610              PavardeNR610             4.48  
VardasNR609              PavardeNR609             2.40  
VardasNR607              PavardeNR607             4.00  
VardasNR601              PavardeNR601             4.28  
VardasNR634              PavardeNR634             3.76  
VardasNR635              PavardeNR635             2.56  
VardasNR600              PavardeNR600             4.64  
VardasNR637              PavardeNR637             1.96  
VardasNR60               PavardeNR60              3.32  
VardasNR639              PavardeNR639             4.52  
VardasNR599              PavardeNR599             4.68  
VardasNR640              PavardeNR640             2.76  
VardasNR594              PavardeNR594             4.40  
VardasNR593              PavardeNR593             2.28  
VardasNR592              PavardeNR592             4.60  
VardasNR590              PavardeNR590             4.76  
VardasNR59               PavardeNR59              1.68  
VardasNR646              PavardeNR646             3.52  
VardasNR647              PavardeNR647             4.16  
VardasNR589              PavardeNR589             2.56  
VardasNR583              PavardeNR583             2.76  
VardasNR582              PavardeNR582             3.80  
VardasNR581              PavardeNR581             2.92  
VardasNR651              PavardeNR651             4.44  
VardasNR58               PavardeNR58              2.92  
VardasNR577              PavardeNR577             3.40  
VardasNR575              PavardeNR575             2.80  
VardasNR574              PavardeNR574             4.00  
VardasNR573              PavardeNR573             4.16  
VardasNR562              PavardeNR562             4.64  
VardasNR554              PavardeNR554             3.64  
VardasNR553              PavardeNR553             3.20  
VardasNR552              PavardeNR552             4.12  
VardasNR550              PavardeNR550             3.28  
VardasNR661              PavardeNR661             3.56  
VardasNR547              PavardeNR547             3.64  
VardasNR544              PavardeNR544             4.28  
VardasNR664              PavardeNR664             3.52  
VardasNR543              PavardeNR543             3.60  
VardasNR540              PavardeNR540             4.00  
VardasNR54               PavardeNR54              3.48  
VardasNR668              PavardeNR668             3.72  
VardasNR539              PavardeNR539             2.92  
VardasNR536              PavardeNR536             3.56  
VardasNR670              PavardeNR670             4.00  
VardasNR671              PavardeNR671             3.20  
VardasNR672              PavardeNR672             4.84  
VardasNR535              PavardeNR535             4.44  
VardasNR674              PavardeNR674             3.52  
VardasNR675              PavardeNR675             3.76  
VardasNR676              PavardeNR676             4.52  
VardasNR677              PavardeNR677             4.76  
VardasNR533              PavardeNR533             3.60  
VardasNR532              PavardeNR532             3.72  
VardasNR527              PavardeNR527             3.72  
VardasNR526              PavardeNR526             4.60  
VardasNR681              PavardeNR681             3.20  
VardasNR682              PavardeNR682             2.64  
VardasNR683              PavardeNR683             4.44  
VardasNR522              PavardeNR522             3.08  
VardasNR521              PavardeNR521             2.72  
VardasNR519              PavardeNR519             3.08  
VardasNR687              PavardeNR687             3.92  
VardasNR518              PavardeNR518             4.88  
VardasNR517              PavardeNR517             4.24  
VardasNR69               PavardeNR69              3.92  
VardasNR514              PavardeNR514             4.88  
VardasNR691              PavardeNR691             2.76  
VardasNR511              PavardeNR511             4.04  
VardasNR693              PavardeNR693             3.32  
VardasNR694              PavardeNR694             3.16  
VardasNR510              PavardeNR510             4.56  
VardasNR696              PavardeNR696             2.28  
VardasNR508              PavardeNR508             3.68  
VardasNR505              PavardeNR505             3.56  
VardasNR699              PavardeNR699             3.12  
VardasNR7                PavardeNR7               2.68  
VardasNR504              PavardeNR504             2.84  
VardasNR700              PavardeNR700             2.72  
VardasNR701              PavardeNR701             2.84  
VardasNR503              PavardeNR503             2.76  
VardasNR703              PavardeNR703             3.96  
VardasNR502              PavardeNR502             2.88  
VardasNR501              PavardeNR501             4.56  
VardasNR706              PavardeNR706             4.16  
VardasNR707              PavardeNR707             2.64  
VardasNR498              PavardeNR498             4.88  
VardasNR497              PavardeNR497             2.52  
VardasNR496              PavardeNR496             2.56  
VardasNR710              PavardeNR710             3.12  
VardasNR711              PavardeNR711             3.04  
VardasNR712              PavardeNR712             4.80  
VardasNR713              PavardeNR713             4.76  
VardasNR495              PavardeNR495             3.72  
VardasNR490              PavardeNR490             3.84  
VardasNR487              PavardeNR487             4.80  
VardasNR717              PavardeNR717             3.68  
VardasNR486              PavardeNR486             3.08  
VardasNR485              PavardeNR485             3.68  
VardasNR482              PavardeNR482             2.40  
VardasNR480              PavardeNR480             3.84  
VardasNR48               PavardeNR48              4.24  
VardasNR478              PavardeNR478             2.84  
VardasNR476              PavardeNR476             2.76  
VardasNR474              PavardeNR474             4.68  
VardasNR725              PavardeNR725             3.24  
VardasNR726              PavardeNR726             4.80  
VardasNR472              PavardeNR472             4.80  
VardasNR469              PavardeNR469             3.28  
VardasNR729              PavardeNR729             3.40  
VardasNR467              PavardeNR467             4.08  
VardasNR463              PavardeNR463             4.72  
VardasNR459              PavardeNR459             4.32  
VardasNR732              PavardeNR732             4.24  
VardasNR733              PavardeNR733             4.88  
VardasNR456              PavardeNR456             3.56  
VardasNR455              PavardeNR455             2.72  
VardasNR451              PavardeNR451             3.40  
VardasNR449              PavardeNR449             3.96  
VardasNR448              PavardeNR448             3.64  
VardasNR739              PavardeNR739             4.88  
VardasNR74               PavardeNR74              3.12  
VardasNR740              PavardeNR740             4.32  
VardasNR446              PavardeNR446             2.12  
VardasNR443              PavardeNR443             4.92  
VardasNR743              PavardeNR743             4.76  
VardasNR440              PavardeNR440             2.48  
VardasNR745              PavardeNR745             2.24  
VardasNR439              PavardeNR439             3.68  
VardasNR747              PavardeNR747             4.36  
VardasNR748              PavardeNR748             3.56  
VardasNR749              PavardeNR749             2.96  
VardasNR436              PavardeNR436             4.80  
VardasNR750              PavardeNR750             2.56  
VardasNR434              PavardeNR434             4.44  
VardasNR433              PavardeNR433             2.36  
VardasNR753              PavardeNR753             4.04  
VardasNR430              PavardeNR430             4.00  
