Vardas                   Pavarde                  Galutinis
VardasNR1                PavardeNR1               6.60  
VardasNR10               PavardeNR10              7.08  
VardasNR998              PavardeNR998             6.04  
VardasNR997              PavardeNR997             6.16  
VardasNR101              PavardeNR101             6.32  
VardasNR996              PavardeNR996             6.72  
VardasNR103              PavardeNR103             7.32  
VardasNR104              PavardeNR104             5.00  
VardasNR994              PavardeNR994             5.64  
VardasNR106              PavardeNR106             6.12  
VardasNR991              PavardeNR991             6.72  
VardasNR989              PavardeNR989             8.36  
VardasNR109              PavardeNR109             8.16  
VardasNR11               PavardeNR11              7.36  
VardasNR110              PavardeNR110             7.96  
VardasNR988              PavardeNR988             5.96  
VardasNR112              PavardeNR112             5.96  
VardasNR113              PavardeNR113             6.52  
VardasNR114              PavardeNR114             7.12  
VardasNR115              PavardeNR115             7.32  
VardasNR987              PavardeNR987             5.04  
VardasNR986              PavardeNR986             7.56  
VardasNR118              PavardeNR118             8.84  
VardasNR119              PavardeNR119             5.80  
VardasNR12               PavardeNR12              6.88  
VardasNR120              PavardeNR120             7.76  
VardasNR121              PavardeNR121             5.32  
VardasNR122              PavardeNR122             6.56  
VardasNR981              PavardeNR981             5.96  
VardasNR124              PavardeNR124             6.76  
VardasNR98               PavardeNR98              6.44  
VardasNR979              PavardeNR979             6.24  
VardasNR127              PavardeNR127             5.72  
VardasNR977              PavardeNR977             5.84  
VardasNR129              PavardeNR129             5.64  
VardasNR13               PavardeNR13              5.24  
VardasNR130              PavardeNR130             6.80  
VardasNR976              PavardeNR976             7.56  
VardasNR132              PavardeNR132             5.36  
VardasNR133              PavardeNR133             5.80  
VardasNR134              PavardeNR134             7.16  
VardasNR135              PavardeNR135             6.00  
VardasNR136              PavardeNR136             6.64  
VardasNR137              PavardeNR137             7.84  
VardasNR971              PavardeNR971             5.36  
VardasNR139              PavardeNR139             8.20  
VardasNR14               PavardeNR14              7.80  
VardasNR140              PavardeNR140             8.16  
VardasNR97               PavardeNR97              6.44  
VardasNR967              PavardeNR967             6.32  
VardasNR966              PavardeNR966             5.36  
VardasNR964              PavardeNR964             5.72  
VardasNR963              PavardeNR963             5.68  
VardasNR962              PavardeNR962             7.36  
VardasNR147              PavardeNR147             6.68  
VardasNR961              PavardeNR961             5.12  
VardasNR960              PavardeNR960             7.28  
VardasNR15               PavardeNR15              7.20  
VardasNR96               PavardeNR96              5.04  
VardasNR957              PavardeNR957             5.92  
VardasNR152              PavardeNR152             5.20  
VardasNR956              PavardeNR956             5.64  
VardasNR154              PavardeNR154             6.64  
VardasNR955              PavardeNR955             7.44  
VardasNR954              PavardeNR954             5.92  
VardasNR157              PavardeNR157             6.88  
VardasNR950              PavardeNR950             6.40  
VardasNR95               PavardeNR95              7.08  
VardasNR949              PavardeNR949             7.28  
VardasNR160              PavardeNR160             8.32  
VardasNR161              PavardeNR161             8.24  
VardasNR162              PavardeNR162             5.20  
VardasNR163              PavardeNR163             6.48  
VardasNR164              PavardeNR164             5.52  
VardasNR165              PavardeNR165             7.12  
VardasNR166              PavardeNR166             8.48  
VardasNR167              PavardeNR167             6.76  
VardasNR168              PavardeNR168             7.28  
VardasNR169              PavardeNR169             5.76  
VardasNR948              PavardeNR948             7.52  
VardasNR945              PavardeNR945             6.96  
VardasNR171              PavardeNR171             8.16  
VardasNR172              PavardeNR172             5.40  
VardasNR173              PavardeNR173             5.08  
VardasNR174              PavardeNR174             7.00  
VardasNR943              PavardeNR943             6.40  
VardasNR176              PavardeNR176             5.40  
VardasNR177              PavardeNR177             7.28  
VardasNR178              PavardeNR178             7.92  
VardasNR942              PavardeNR942             6.04  
VardasNR18               PavardeNR18              8.24  
VardasNR180              PavardeNR180             8.00  
